Junction_ID_Alt	Junction_ID_Ref	Junction_Key_Alt_GRCh38	Junction_Key_Ref_GRCh38	Junction_Key_Alt_GRCh37	Junction_Key_Ref_GRCh37	Alpha_0	Beta_0	Pi_0	Alpha_1	Beta_1	Pi_1
11764067	11764069	10,101600863,101601169	10,101600863,101601202	10,103360620,103360926	10,103360620,103360959	0.646715320582633	247.454434975809	0.0100007275664535	3.37251242667855	57.2757725197957	0.0412547426285423
11797321	11797313	10,102011798,102012832	10,102011784,102012832	10,103771555,103772589	10,103771541,103772589	0.412864556520565	74.0557960463305	0.0100116788967014	86.8244341665646	997.065933844923	0.316980312612604
11848155	11848129	10,102423728,102423797	10,102423718,102423797	10,104183485,104183554	10,104183475,104183554	0.141062173735261	999.521631607395	0.01000083766227	3.43596914140765	584.750615542793	0.19566441153825
11928016	11928017	10,103438072,103438669	10,103438072,103438685	10,105197829,105198426	10,105197829,105198442	0.100000178294296	174.584652419853	0.340497825958273	16.1928850689996	463.025009759724	0.491693745843812
12045259	12045260	10,110887887,110889508	10,110887887,110889532	10,112647645,112649266	10,112647645,112649290	0.10000005222639	999.060848058037	0.492832464253709	0.570243881561092	137.622836802052	0.0100001221024095
12314744	12314714	10,121974101,121974873	10,121974082,121974873	10,123733616,123734388	10,123733597,123734388	0.292043298415377	203.113764941425	0.0100126668895424	0.72291042160052	3.15892137049841	0.0100002140946605
12350990	12350976	10,122994752,122995993	10,122994724,122995993	10,124754268,124755509	10,124754240,124755509	0.68704634261306	285.416369996986	0.578767719125983	0.899745537917026	22.069014533933	0.0100000115588796
12419258	12419259	10,124972119,124973626	10,124972119,124973644	10,126660688,126662195	10,126660688,126662213	0.407483966302944	186.093412546426	0.0100009264897436	2.43166420919096	36.9715858408163	0.199953617892239
12450830	12450831	10,125996625,125997405	10,125996625,125997419	10,127685194,127685974	10,127685194,127685988	0.647753440052438	87.125443924982	0.0100066519943025	2.74513480036506	4.69523263544614	0.0676124955518896
12671035	12671017	10,133302999,133308822	10,133302981,133308822	10,135116503,135122326	10,135116485,135122326	0.227093221356237	179.594032621256	0.0100220484810964	4.46807665360939	119.831714246374	0.0100000783547469
10284563	10284549	10,49744141,49744649	10,49744123,49744649	10,50952187,50952695	10,50952169,50952695	1.09051468966151	545.827328664285	0.0100000502848478	0.996952609361485	6.23937001054184	0.0100000233434393
9053335	9053337	10,5455119,5456064	10,5455119,5456086	10,5497082,5498027	10,5497082,5498049	0.239542726822153	192.377398626524	0.0100000570848843	1.72809496467711	9.39527912575941	0.0243913578909518
9092396	9092397	10,5936588,5937084	10,5936588,5937109	10,5978551,5979047	10,5978551,5979072	3.54059020145676	509.293857791479	0.0100124599508854	1.225648542301	43.1701051097541	0.0100007698992357
10551429	10551416	10,68503712,68506584	10,68503696,68506584	10,70263469,70266341	10,70263453,70266341	0.195573193382209	104.066079631217	0.0100003292783121	1.68843275107877	515.807780014971	0.0100003311043933
10611566	10611568	10,69195266,69196977	10,69195266,69196991	10,70955022,70956733	10,70955022,70956747	0.100000063138027	51.5821311153919	0.711068228039348	3.75791794506402	26.2501493622752	0.42506699422393
10831401	10831378	10,73471630,73474918	10,73471614,73474918	10,75231388,75234676	10,75231372,75234676	2.53281431940117	676.582512512611	0.86273528941097	27.8519323003431	999.231363636778	0.320168252988324
10837919	10837904	10,73521043,73523582	10,73521028,73523582	10,75280801,75283340	10,75280786,75283340	0.516495293397807	148.517439924428	0.0100000257708042	1.93539649040822	20.1755879022077	0.0100000929172053
10873454	10873442	10,73806832,73807107	10,73806812,73807107	10,75566590,75566865	10,75566570,75566865	2.11013790253216	81.1421337230754	0.0100004617367705	2.29330435001457	18.5511852310999	0.0405641191651133
11134681	11134682	10,80504779,80507198	10,80504779,80507227	10,82264535,82266954	10,82264535,82266983	1.6972734545855	214.687386660143	0.0100000244318442	3.61306709649397	108.640208066268	0.0100000654530574
11275181	11275164	10,87759801,87767672	10,87759788,87767672	10,89519558,89527429	10,89519545,89527429	0.337224287889751	2.53328621406345	0.0100015538812638	17.8364104615343	3.07223414984904	0.0259217218088443
11359057	11359059	10,91484656,91485164	10,91484656,91485179	10,93244413,93244921	10,93244413,93244936	1.13085019858249	42.9428029112654	0.0100008312288512	3.40811396468779	5.57427208682277	0.0100002299409583
11489183	11489173	10,95381816,95383984	10,95381800,95383984	10,97141573,97143741	10,97141557,97143741	0.100000258632868	997.858332609491	0.136570590250723	16.800876883291	999.971211851522	0.175858981350248
11592826	11592827	10,97454800,97455638	10,97454800,97455659	10,99214557,99215395	10,99214557,99215416	1.51610236849541	80.2941543028015	0.0100000044784867	3.2786806621685	4.6058682380563	0.025748152335588
11615488	11615489	10,97743165,97744711	10,97743165,97744728	10,99502922,99504468	10,99502922,99504485	0.115813640721331	74.9327866214697	0.0100004990948666	1.87485770972397	8.15114390888401	0.0212078493279512
11623753	11623747	10,97923425,97936169	10,97923401,97936169	10,99683182,99695926	10,99683158,99695926	0.177289781657602	460.035430407674	0.0100081106863043	2.12225726969114	28.7453859612009	0.010000018918488
16851750	16851756	11,114446088,114447777	11,114446088,114447825	11,114316810,114318499	11,114316810,114318547	0.517048347725467	251.695124655213	0.0100009381793069	2.75141886524229	100.998553616358	0.145252920495267
16944010	16944011	11,117246949,117279880	11,117246949,117279907	11,117117665,117150596	11,117117665,117150623	0.137117471446239	84.3454352512314	0.0100137675448573	0.240278157981844	6.46040360954839	0.0100002294682307
17074321	17074299	11,119025100,119025190	11,119025077,119025190	11,118895810,118895900	11,118895787,118895900	2.96069485558148	356.529779300577	0.0100000210270241	2.14371199902234	68.1842189405012	0.0100000784202651
13499680	13499670	11,11967120,11968394	11,11967099,11968394	11,11988667,11989941	11,11988646,11989941	1.26827700411435	717.474676600424	0.0100001967751427	0.201219936739377	4.12857874476654	0.0100001402952741
17270128	17270129	11,124625904,124626459	11,124625904,124626472	11,124495800,124496355	11,124495800,124496368	0.100001128235266	32.5713755499802	0.190909965970595	0.952477368634237	3.68079768755531	0.010000013415218
17306443	17306445	11,125572570,125575250	11,125572570,125575262	11,125442466,125445146	11,125442466,125445158	4.6985612067865	162.539811512518	0.0100002122489829	2.91509201807434	12.5850895877816	0.0100000186939891
17339374	17339376	11,126273080,126273315	11,126273080,126273335	11,126142975,126143210	11,126142975,126143230	1.15159823502105	115.448983041964	0.0100060555328141	1.14240873832171	11.5316745454966	0.0100000257868432
13676998	13677000	11,18403014,18403674	11,18403014,18403693	11,18424561,18425221	11,18424561,18425240	0.169251666635623	999.982897627154	0.0100001800887615	0.466577467044135	266.596199047306	0.0100004021451336
13858229	13858230	11,33059096,33061514	11,33059096,33061529	11,33080642,33083060	11,33080642,33083075	1.13579570671228	43.2565902733871	0.0100004356468519	1.8802721607519	6.63411858224551	0.0100000347888999
13910827	13910828	11,34115885,34118163	11,34115885,34118179	11,34137432,34139710	11,34137432,34139726	0.249426617733169	177.789021168939	0.0100068761947016	0.813074994987514	27.5198285383779	0.0100000577704356
